Time,Pd*L0,Pd*L1,Pd*L2,Pd*L3,CO*TopL0,CO*TopL1,CO*BridgeL00,CO*BridgeL01,CO*BridgeL11,CO*HollowL000,CO*HollowL001,CO*HollowL011,CO*HollowL111,CO*Total
0.0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.597466705655966e-08,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.164098393023975e-07,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7219242223351323e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.3582914037637535e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.8626709173227853e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.424415339878448e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.853101694784127e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.295906222484376e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.817105329413662e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.363834388059135e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.772277673540197e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.357534650866768e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.923782533127268e-07,7,1,0,0,0,0,0,0,0,0,0,0,0,0
7.376323760946527e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.048519043916565e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.601444332100315e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.141975941317832e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.65470797430209e-07,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0110425076528249e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0577942362591348e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1366299862191723e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.191450663946915e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2434955069031847e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2862131989229469e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3304287813943645e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3799002806761147e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4374840078295033e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4844540397332387e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.5347800406488017e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6047892760342357e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6526359151145491e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.6997936653375888e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.7562955064098126e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.8090641293242224e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.8675646280751527e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.9101455539186903e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.9657750229863514e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.0162115230552217e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.063554071371122e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.12556343383358e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.192567553787395e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.2397314085774007e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.2992479821566263e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.346696812272049e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.4096047034274285e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.4768933976558818e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.5303016225820733e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.582216600894346e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.654336544257826e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.6971515973474523e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.750215197043108e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.8155818749996e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.859463578275789e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.9160659660200653e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2.9618673697915735e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.0257923659669208e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.084421917996914e-06,7,1,0,0,0,0,0,0,0,0,0,0,0,0
3.125425007599715e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.1821695460555718e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.22686219671264e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.263892256226436e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.3180986241615793e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.3693378959600826e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.4235716537877344e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.4804219629220644e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.54268417494876e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.5846834617042573e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.639817446151943e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.6891277470992887e-06,7,1,0,0,0,0,0,0,0,0,0,0,0,0
3.7416372718669853e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.7928223663781692e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.84391095390931e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.888162962636273e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
3.9528375200157085e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.013007672096704e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.057807949817624e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.109801429366847e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.163140626102983e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.206957846495934e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.2580228822185094e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.305894202576854e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.357036007055145e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.413598566326172e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.480936770257049e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.535746946050082e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.5766247423994875e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.644909582965169e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.687504539822628e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.7306566590150525e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.769935321215389e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.81867151225483e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.864764862590386e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.920648486190087e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
4.969092800227881e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.022401755270303e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.071412599740279e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.129466365773479e-06,7,1,0,0,0,0,0,0,0,0,0,0,0,0
5.180395850538208e-06,7,1,0,0,0,0,0,0,0,0,0,0,0,0
5.237184150049322e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.291512744522475e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.338278694196972e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.383503996276924e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.4311141520367935e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.47407501202066e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.547424306738186e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.6133612020577126e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.676592265584662e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.728494844602942e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.787775982766856e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.83376656279863e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.876307740805196e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.9169629816279425e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5.984047782954805e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.049652519535154e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.108090525109327e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.166731864288755e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.224893357413424e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.276436021390228e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.322265262469382e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.3717977377665024e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.4356394534650055e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.493454689780858e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.551875826684122e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.60615591271996e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.66946629768256e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.731638955252436e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.775223752197625e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.8302696628955035e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.887636255802246e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.944735472747495e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6.993032550734802e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.0536750983350515e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.111716514480677e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.164265288804442e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.207282101707508e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.276897366211249e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.323860700813086e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.3662464174732915e-06,7,1,0,0,0,0,0,0,0,0,0,0,0,0
7.414912519622285e-06,7,1,0,0,0,0,0,0,0,0,0,0,0,0
7.472622756357751e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.518192141392865e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.5730193803800245e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.626917084580876e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.690260654368633e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.74464384966655e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.797293597798109e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.847139147378994e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.892746457240037e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.944346414066356e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.002631675021311e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.055980953079875e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.095722746136144e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.153272923063894e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.211498713290592e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.25780921225338e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.303680353369091e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.354349250111148e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.409806955496672e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.454405320560878e-06,7,1,0,0,0,0,0,0,0,0,0,0,0,0
8.51395360460377e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.558580809894384e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.621361600376237e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.66959622264726e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.719123432488623e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.769018574975995e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.817507302808074e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
8.869667262273573e-06,7,1,0,0,0,0,0,0,0,0,0,0,0,0
8.916553334049339e-06,7,1,0,0,0,0,0,0,0,0,0,0,0,0
8.970041215483804e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.02280738221396e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.069923530932715e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.124279594956804e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.188179310789662e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.239476135522896e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.280851685906105e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.338853961226202e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.390516925096921e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.436922289095085e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.493369089570022e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.553915183826627e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.59971058129831e-06,7,1,0,0,0,0,0,0,0,0,0,0,0,0
9.659776971465926e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.724311851939671e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.776265877480013e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.82327626274631e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.885896197617105e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.936017612288326e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9.988949825705533e-06,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0041535491820454e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.008468084401363e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0137737835697028e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0191980030731306e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0244671432275222e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0289881727338406e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0342173654056426e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0392614629878563e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0453716000819725e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0506163074268613e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0557470254960356e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0606626727046712e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0660452448651842e-05,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0725988108535692e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.07719065266704e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0813434417247303e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0854237722974823e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.091261442249761e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.0981549258478767e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1034565271595031e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1089688904843448e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1157441998820116e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1210038209239147e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1285295670159794e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1342293872081853e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1409105700905374e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1458171162231215e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.153223110304272e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1576914186745024e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1628990673127032e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1683021615493166e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.173061369040458e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1803265251575963e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1848290828593505e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.1893553781227205e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.194740091135473e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.200574879392819e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2055133662154858e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.21255378903067e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2178291947927568e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2241029757769789e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2289775634706257e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2340231939945691e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2398341461672865e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.246290207822362e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2519511785785424e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2578053282840399e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2628216125094799e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2675555908926707e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2725969091730145e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2788286560158513e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.2846218432427452e-05,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1.290975477646278e-05,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1.2958110588577179e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3010124936228402e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3065255304153364e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3112795667414954e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3163823909310637e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3220209645011678e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3265487521413472e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.333020787447084e-05,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1.3382952567853555e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3449716713784846e-05,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1.3507913487702008e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3560518331951019e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.362498008531789e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3684697682586525e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3730776273590178e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3774584713159859e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3834524892134568e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3871537291224954e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.3928938238997841e-05,7,1,0,0,0,0,0,0,0,0,0,0,0,0
1.398036719450219e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4025435380064383e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4078924584169983e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4128551618542984e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4187031619928149e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4231785872608242e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4300463628589969e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4364417240635585e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.442639591550505e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4478257040729324e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4545717791512975e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4605408300953646e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4662335650974205e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4715991200138213e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.477213272105067e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.4843923055729665e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.488863244822413e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
1.488863244822413e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
7.392900654033811e-05,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.000125890706962037,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00017295002054909756,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00022040257307042477,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00025785374535778206,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00030666397719583444,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0.00035641244311285664,6,2,0,0,0,0,0,0,0,0,0,0,0,0
